HER (-1.0376062666221084, 'type_video')
HER (-0.98792993429628118, 'type_photo')
HER (-0.89893502326060992, 'type_status')
HER (-0.4501363802675396, 'has_hashtag')
LER (1.4248090755823848, 'type_event')
LER (1.1210792317020175, 'type_link')
LER (0.50708539984167922, 'has_url')
