HER (-0.66289592811625253, 'low_wps')
HER (-0.62375312212505085, 'no_exclam')
HER (-0.45001174402578642, 'no_qmark')
HER (-0.24047074280128189, 'high_wps')
LER (1.1175036908781484, 'many_sixltr')
LER (0.78807269990344719, 'has_exclam')
LER (0.61452543262916781, 'has_qmark')
