KFCAustralia,2016-06-03T01:30:00+0000,41447042,110233818125_10154213624003126,711,11,51,photo,It's time to meet Chicken Salad 😊...creative  intellectual & a little shy but definitely one you want to bring to the party 🎉 LIKE if you're a match!
KFCAustralia,2016-06-02T02:00:00+0000,41442357,110233818125_10154201923478126,13658,1413,5503,photo,I didn't choose the nug life  the nug life chose me 😍
KFCAustralia,2016-06-01T02:00:00+0000,41434421,110233818125_10154201861843126,230,10,387,video,Who’s excited for State of Origin? 🙋 Screenshot if you can kick a goal  and tell us below which team you’re backing! 🏆
KFCAustralia,2016-05-31T02:00:00+0000,41422039,110233818125_10154194670673126,1245,20,132,photo,Have you met Caesar? 💪 Down to earth  a true leader & knows its best asset (dat sauce)! Are you a match? LIKE to let us know 😉
KFCAustralia,2016-05-30T02:00:00+0000,41412472,110233818125_10154194668958126,5054,499,6033,photo,Brrr! Who else wishes they had this blanket to keep them nice and s-nug today? ❄️
KFCAustralia,2016-05-28T02:00:00+0000,41388326,110233818125_10154194660493126,1086,60,588,video,Anyone else getting a strange urge for a Zinger Stacker? 😜
KFCAustralia,2016-05-16T02:43:43+0000,41211997,110233818125_10154162229363126,502,9,82,photo,Found! 😊
KFCAustralia,2016-05-16T00:00:01+0000,41211997,110233818125_10154169070913126,8124,627,5840,photo,Just when you thought Tuesdays couldn't get any better... Introducing 12 for $12.95! With six pieces of Original Recipe & six Tenders  start rounding up the troops 👨‍👩‍👧
KFCAustralia,2016-05-15T02:59:30+0000,41199488,110233818125_10154162220628126,6689,655,4343,photo,Sweet dreams! 😴
KFCAustralia,2016-05-13T02:00:00+0000,41173318,110233818125_10154119222813126,731,79,1014,video,Can't decide which burger to get? Close your eyes  hit 'Pause' and tell us what you got! 😋
KFCAustralia,2016-05-12T02:00:00+0000,41169307,110233818125_10154162207153126,2905,75,784,photo,Nothing says "I love you" like KFC 😘 Who would you give this love note to?
KFCAustralia,2016-05-11T02:33:46+0000,41161253,110233818125_10154164528873126,2899,868,730,photo,Gotta eat 'em all... which burger would you pick as your meal companion? 👇 #Pokemon
KFCAustralia,2016-05-11T02:00:00+0000,41161253,110233818125_10154162182353126,142,5,49,video,😱 = Your face when you realise the Colonel’s emoji Pepsi bottles are only in stores until Monday!
