(-2.8501944921999378, 'type_link')
(-3.00291959275813, 'netspeak_yes')
(-3.0124578685701024, 'has_url')
(-3.1814758936754455, 'is_authentic_no')
(-3.2643535486611004, 'is_analytic_yes')
(-3.2977831592468574, 'is_analytic_no')
(-3.3540241363169994, 'type_status')
(-3.4455733128355162, 'many_sixltr')
(-3.4913279046344838, 'affiliation_yes')
(-3.5019693940642664, 'see_yes')
(-3.5116121556799946, 'is_clout_yes')
(-3.5199948681077542, 'power_yes')
(-3.5287634023617596, 'insight_yes')
(-3.5699110552882747, 'few_sixltr')
(-3.5838029886519873, 'posemo_yes')
(-3.5852627545793885, 'low_wps')
(-3.6259482866333244, 'achieve_yes')
(-3.6815828416951, 'is_tone_yes')
(-3.6849295041320937, 'has_exclam')
(-3.734682161097064, 'has_qmark')
(-3.7847107205775918, 'cause_yes')
(-3.7965522929489941, 'high_wps')
(-3.8060604728905529, 'is_authentic_yes')
(-3.8367560075224434, 'low_arousal')
(-3.8746496901875886, 'low_dominance')
(-3.9208524075674145, 'tentat_yes')
(-3.9404885875278302, 'reward_yes')
(-3.9549441618856394, 'has_hashtag')
(-4.2910412594352545, 'differ_yes')
(-4.2949964201282409, 'type_video')
(-4.3475969255556235, 'negemo_yes')
(-4.3793430710789663, 'certain_yes')
(-4.4315140422112576, 'is_clout_no')
(-4.5379160569669494, 'is_tone_no')
(-4.5607726451111033, 'discrep_yes')
(-4.5638610317549331, 'feel_yes')
(-4.5844094897314944, 'hear_yes')
(-4.6348171414964723, 'high_dominance')
(-4.6584963971933808, 'type_photo')
(-4.7255190825624513, 'high_arousal')
(-5.2464704383618814, 'assent_yes')
(-5.2713697988975206, 'risk_yes')
(-5.4914549543440776, 'sad_yes')
(-5.7154633123158938, 'nonflu_yes')
(-6.3598522303816729, 'anx_yes')
(-6.4406941348853417, 'anger_yes')
(-6.940951739951899, 'filler_yes')
(-7.0485774466423807, 'type_event')
(-8.0365479012711027, 'swear_yes')
