HER (-0.40885100066498897, 'high_wps')
HER (-0.35929707183043558, 'many_sixltr')
HER (-0.19295721200408406, 'no_qmark')
LER (0.43203720462656059, 'has_qmark')
LER (0.22578418441727893, 'no_exclam')
LER (0.10720152140709517, 'few_sixltr')
