HER (-4.1648085438659681, 'yearinspace')
HER (-3.5554928921975844, 'philae')
HER (-3.5003744907175571, '2015')
HER (-2.8647792704535564, 'plutoflyby')
HER (-2.8166597979054631, 'isro')
HER (-2.6892235411849823, 'image credit')
HER (-2.6879378230924762, 'principia')
HER (-2.524882948291062, 'journeytomars')
HER (-2.4773566703432532, 'info')
HER (-2.4280021972159154, 'happy')
HER (-2.3545514928262619, 'orion spacecraft')
HER (-2.2389789323252089, 'otd')
HER (-2.204756219613532, 'christmas')
HER (-2.1860637334672339, 'esa')
HER (-2.1757529141173646, 'lightsail')
HER (-2.1610735993071293, '67p')
HER (-2.1386964078395048, 'pslv')
HER (-2.1051844542889762, 'canada')
HER (-2.0905433861849247, 'photo')
HER (-2.073150555960479, 'superbloodmoon')
HER (-2.0691844121565923, 'rocket')
HER (-2.0391699531617107, 'nebula')
HER (-2.0292606984645318, 'eso')
HER (-2.0112163803327507, 'gravitational')
HER (-1.9693508989975945, 'galaxy')
HER (-1.9644567891869809, 'aliens')
HER (-1.9641664756250503, 'massive')
HER (-1.9490090835595895, 'curiosity mars rover')
HER (-1.9490090835595895, 'nasa curiosity mars')
HER (-1.9201646650568307, 'spaceship')
HER (-1.9045483935988048, 'nasabeyond')
HER (-1.8601062037860605, 'morning')
HER (-1.8509268403756758, 'honour')
HER (-1.8315875251567175, 'nasa armstrong')
HER (-1.8246414141472389, 'miles')
HER (-1.819458153563219, 'astronauts')
HER (-1.8107561463464019, 'perspective')
HER (-1.78137631797943, 'hockey')
HER (-1.7755683186956452, 'ndtyson')
HER (-1.7644578161799296, 'blue')
HER (-1.7594953436437573, 'feet')
HER (-1.7364488534063016, 'selfie')
HER (-1.7301664149510985, 'nye')
HER (-1.7284159090145457, 'good morning')
HER (-1.7252743303723692, 'osiris')
HER (-1.7140746843188035, 'vital')
HER (-1.6925267944146045, 'cosmos')
HER (-1.6862443912667899, 'nasa langley')
HER (-1.6735371503027834, 'good')
HER (-1.6697227529764653, 'sts')
HER (-1.6607563655906763, 'thanks')
HER (-1.6600658622482354, 'station')
HER (-1.6559527138683781, 'shower')
HER (-1.654516089665079, 'successfully')
HER (-1.6477856040062848, 'biggest')
HER (-1.6340760950026556, 'cometlanding')
HER (-1.6211550070687557, 'finale')
HER (-1.6180495554933518, 'sls')
HER (-1.6158131893202279, 'kelly')
HER (-1.6063018598382917, '25th')
HER (-1.6060909461779906, 'tbt')
HER (-1.6005836505932884, 'astronomers')
HER (-1.5930767336893885, 'jupiter')
HER (-1.5921988478172955, 'mimas')
HER (-1.5917421911073215, 'music')
HER (-1.5550281055780566, 'comet 67p')
HER (-1.5528342028946915, 'image nasa')
HER (-1.5477064936885898, 'journey mars')
HER (-1.5441438761965749, 'rosetta')
HER (-1.5367253391756746, 'falcon')
HER (-1.5329750135193736, 'supermoon')
HER (-1.5217071289679163, 'spaceport')
HER (-1.511007269271162, '2014')
HER (-1.5093130121822176, 'nasa armstrong flight')
HER (-1.5078912199214416, 'named')
HER (-1.5078336679197388, '2018')
HER (-1.5060237374369503, 'nasa curiosity')
HER (-1.5038002325285889, 'birthday')
HER (-1.4931743269938527, 'tools')
HER (-1.4900470389340907, 'utc')
HER (-1.4865625414913288, 'flew')
HER (-1.4848684241373062, 'officially')
HER (-1.4840604583123829, 'england')
HER (-1.4832465109965229, 'suitup')
HER (-1.4802653489913424, 'star')
HER (-1.477432910778079, 'celebrating')
HER (-1.4691572357230929, 'peake')
HER (-1.4691572357230929, 'tim peake')
HER (-1.4660867577640786, 'planetary society')
HER (-1.4632013459080493, 'alma')
HER (-1.4631320464747934, 'exploration mission')
HER (-1.4543364214193926, 'makes')
HER (-1.4536936708477572, 'like')
HER (-1.4393488484071544, 'times')
HER (-1.4303391181391423, 'taken')
HER (-1.4299840542998641, 'credit nasa goddard')
HER (-1.4266551063382442, 'red')
HER (-1.418621529933936, 'africa')
HER (-1.4172505501834534, 'day')
HER (-1.4140331066704133, 'thank')
LER (3.9480590073326485, 'retweeted')
LER (3.2900871382947758, '2011')
LER (3.2802256836083163, 'nasasocial')
LER (3.1768844564106851, 'curiosity')
LER (2.9700270618007303, 'soho')
LER (2.9554395261916837, 'rt')
LER (2.7811193679865918, 'read')
LER (2.7077272510452119, 'dryden')
LER (2.6072998602162234, 'credit nasa sdo')
LER (2.6030450751916061, 'sdo')
LER (2.5847644398097689, 'journey log')
LER (2.5807755434460558, 'log')
LER (2.5637350864249004, 'nasa sdo')
LER (2.5492351330878216, 'glenn')
LER (2.4320976274189769, '2012')
LER (2.3532819613741132, 'image week')
LER (2.3381510543459414, 'check')
LER (2.3247691802820927, 'ntrs')
LER (2.3125968187765285, 'space place')
LER (2.2599571588354221, 'kepler')
LER (2.0485809597091604, 'herschel')
LER (2.02114697959991, 'link')
LER (2.0169021078538392, '2013')
LER (2.0127995089562041, 'training')
LER (1.9784187241407361, 'stereo')
LER (1.9665128181926679, 'grail')
LER (1.9382349870282347, 'wsw2013')
LER (1.931188422454049, 'conference')
LER (1.9272129285710051, 'csa')
LER (1.8990569918223441, 'ladee')
LER (1.8505287364615139, 'lunar')
LER (1.8482262551385396, 'area')
LER (1.8427062823280804, 'interview')
LER (1.8274403191332871, 'moon')
LER (1.8136693459245647, 'challenge')
LER (1.8087029675367292, 'balloon')
LER (1.7613046037659159, 'lroc')
LER (1.760289586454552, 'spotorion')
LER (1.6875230640394352, 'ison')
LER (1.6808675384023561, 'episode')
LER (1.6744992197727822, 'spacex dragon')
LER (1.6293769669639566, 'workshop')
LER (1.6262326573413346, 'dextre')
LER (1.6084807880143084, 'plutolives')
LER (1.5676849649130398, 'day year')
LER (1.5553543810857828, 'event')
LER (1.540173398023081, 'chuck')
LER (1.5240709305132016, 'friday')
LER (1.5208219321248608, 'juno')
LER (1.5189840451992584, 'deadline')
