LRT (1.6512721699326933, 'verge')
LRT (1.6220239697543581, 'times')
LRT (1.6195795877805592, 'ok')
LRT (1.6087535243009972, 'inquisitr')
LRT (1.5969503268856828, 'hd')
LRT (1.5937849414913783, 'carbon')
LRT (1.5848819675885877, 'student')
LRT (1.5779645418376718, 'flickr')
LRT (1.5769929260565028, 'check nasa')
LRT (1.5730246628264135, 'blogs')
LRT (1.5681068847532513, 'di')
LRT (1.5679423788703304, 'storms')
LRT (1.5670933451762408, 'astrobiologist')
LRT (1.5560897559528599, 'gas giant')
LRT (1.5541493917709701, 'attempts')
LRT (1.5329123059812215, 'pix')
LRT (1.5321210644999712, 'niac2012')
LRT (1.5299603739354666, 'webby')
LRT (1.528459240083627, 'check photos')
LRT (1.5264189192544932, 'galaxy explorer')
LRT (1.5154817423323033, 'boston')
LRT (1.5047006505837075, 'fox')
LRT (1.5034267891863069, 'posted')
LRT (1.4853500746756321, 'eccentric')
LRT (1.4848840275844524, '2004')
LRT (1.4690905493141044, 'movies')
LRT (1.4460985156031667, 'goats')
LRT (1.4394090177202072, 'acqua')
LRT (1.4305219566423901, 'distance target')
LRT (1.4291583525614282, 'stories')
LRT (1.4277937091255146, 'laura')
LRT (1.4253042341029711, 'berkeley')
LRT (1.4197155768193199, 'bloomberg')
LRT (1.4128847558094912, 'astronomy online')
LRT (1.410275619080636, 'tyke')
LRT (1.4074985106259221, 'mission day')
LRT (1.4053443775323498, 'jpl')
LRT (1.4052474691391925, 'secret')
LRT (1.4029166055062787, 'california')
LRT (1.401384376982409, 'wtg')
LRT (1.3968469966842874, 'needed')
LRT (1.3924008101701686, 'popular')
LRT (1.3856247334832015, 'magazine')
LRT (1.3735372121726583, 'hanx')
LRT (1.3638465259899546, 'fat')
LRT (1.3638449257170857, 'think wakeuprosetta')
LRT (1.3505768607577981, 'opennasa')
