HER (-6.5447806937891491, 'type_photo')
HER (-4.5081649849474061, 'philae')
HER (-3.5205552242812805, 'plutoflyby')
HER (-2.6832481594836222, 'principia')
HER (-2.669367009819966, '2015')
HER (-2.6285495617874308, 'type_photo has_url')
HER (-2.5347674516689231, 'type_photo has_hashtag')
HER (-2.4960003963384518, 'rosetta')
HER (-2.2657898416907249, 'lightsail')
HER (-2.1325402801864017, 'isro')
HER (-2.0469492497712998, 'music')
HER (-2.0184691452609989, 'type_video has_hashtag')
HER (-2.0026128742041802, 'venus jupiter')
HER (-1.9172250215207729, 'has_hashtag')
HER (-1.9123212108070751, '67p')
HER (-1.8824256665299093, 'strong')
HER (-1.8821103477517562, 'evan')
HER (-1.8797340636828967, 'is_analytic_no feel_yes')
HER (-1.8731971787166355, 'honour')
HER (-1.834194910998326, 'sls')
HER (-1.7895053633302072, 'few_sixltr type_photo')
HER (-1.786184340092384, 'rocket')
HER (-1.7715839030044134, 'has_qmark type_photo')
HER (-1.7585158743262232, 'high_wps type_photo')
HER (-1.7432879677486495, 'morning')
HER (-1.7399524975816052, 'tyson')
HER (-1.7312238859159736, 'signal')
HER (-1.7034951156929847, 'close')
HER (-1.6660802157433319, 'thank')
HER (-1.6259678634083681, 'supermoon')
HER (-1.6154709420388498, 'bowie')
HER (-1.6120801993899974, 'good')
HER (-1.5922593426571023, 'nasa curiosity')
HER (-1.5527235292662247, 'youtube')
HER (-1.5487353945915083, 'type_status good')
HER (-1.5445064959992301, 'nasa langley')
HER (-1.5341571074377645, 'type_photo day')
HER (-1.5324961636909802, 'experiment')
HER (-1.5280062078774403, 'good morning')
HER (-1.492674451603776, 'miles')
HER (-1.4919184780039763, 'hello')
HER (-1.4709398123095847, 'jupiter')
HER (-1.469790577750304, 'alien')
HER (-1.4681266827793296, 'high')
HER (-1.4585385991674527, 'flowers')
HER (-1.4489764414834361, 'perspective')
HER (-1.4458594353788814, '45')
HER (-1.4457991984325103, 'astronomers')
HER (-1.4267959622375344, 'esa')
HER (-1.4244724398634463, 'dynamics')
HER (-1.4193547983984778, 'ndtyson')
HER (-1.3896940085705645, 'designed')
HER (-1.3875466710065385, 'little sdo')
HER (-1.3760878148831306, 'comet')
HER (-1.3633170574914331, 'andrew')
HER (-1.3580688535425485, 'org')
HER (-1.3572665589644024, 'hawking')
HER (-1.3553752102375765, 'dynamics observatory')
HER (-1.3553752102375765, 'solar dynamics')
HER (-1.3528382991841497, 'panorama')
HER (-1.3504243842938037, 'fly')
HER (-1.3462009254854461, 'strange')
HER (-1.3442946978951231, 'degrasse')
HER (-1.3442946978951231, 'degrasse tyson')
HER (-1.3442946978951231, 'neil degrasse')
HER (-1.3433345890887429, 'image released')
